coin,k,test_bars,test_days,trades,ret_total,ret_annualized,vol_annualized,sharpe,winrate,max_drawdown,avg_bars_per_trade,ref,test_start
AAVEUSDT,168,115048,79.9,126,0.8514294702450109,4.12003311279445,0.39588739662044975,10.407083277772301,0.1784769962982549,-0.08321176175052564,120.06349206349206,BTCUSD,2025-08-24T23:06:00+00:00
ADAUSD,91,115048,79.9,138,0.32287611597610155,1.727251291261372,0.34770345679835324,4.967598837136809,0.18025283347863993,-0.05968418385020935,66.4927536231884,BTCUSD,2025-08-24T23:06:00+00:00
ADAUSDT,76,115048,79.9,128,-0.040462315290914576,0.049055412376532805,0.42163816798379483,0.11634480940556172,0.21200181845734203,-0.19724182280488087,51.5546875,BTCUSD,2025-08-24T23:06:00+00:00
AVAXUSD,36,114616,79.6,436,1.1018420515884593,5.852523402621709,0.4883298708243014,11.984774521480507,0.20569957386363635,-0.06353641287210504,25.834862385321102,BTCUSD,2025-08-25T06:18:00+00:00
AVAXUSDT,61,115048,79.9,214,0.0784154433283988,0.7493091319571551,0.40912226590825324,1.831504156748537,0.21200750469043153,-0.262256154484382,42.3411214953271,BTCUSD,2025-08-24T23:06:00+00:00
BCHUSD,47,112888,78.4,497,0.8738055637365534,4.993989478951962,0.36448389646392404,13.701536659008147,0.17916152897657214,-0.03881164163363571,32.63581488933602,BTCUSD,2025-08-26T11:06:00+00:00
BCHUSDT,110,115048,79.9,192,0.49963984796353217,2.6334815389196833,0.489093978727195,5.38440800655404,0.1995887337986042,-0.08398256322613454,83.58333333333333,BTCUSD,2025-08-24T23:06:00+00:00
BNBUSD,51,115048,79.9,289,0.4365044566345486,2.522304624218738,0.35163244050126163,7.173128325198691,0.20737021599090566,-0.050773558667377816,36.52595155709343,BTCUSD,2025-08-24T23:06:00+00:00
BNBUSDT,40,115048,79.9,356,-0.010136492859024255,0.6042495250095355,0.4043670878196049,1.4943093593110452,0.26467975920260534,-0.18143078493944997,28.463483146067414,BTCUSD,2025-08-24T23:06:00+00:00
BTCUSDT,1,115048,79.9,4576,-5.443830682947103,-16.508058957624307,0.1791638815923249,-92.13943538233758,0.04326923076923077,-5.443830682947103,1.0,BTCUSD,2025-08-24T23:06:00+00:00
DOGEUSD,46,115048,79.9,253,0.5647373755401971,3.0423534923156152,0.5255976367272752,5.78836980139958,0.19648422889913975,-0.13995933228393576,31.703557312252965,BTCUSD,2025-08-24T23:06:00+00:00
DOGEUSDT,37,115048,79.9,244,-0.08568812983087667,0.0544197114325467,0.5443553462847964,0.0999709320969875,0.25301391035548687,-0.1654202831132962,26.516393442622952,BTCUSD,2025-08-24T23:06:00+00:00
DOTUSD,61,114616,79.6,340,1.138051940786998,5.842480108166784,0.5326369319558657,10.968972952665204,0.1876311739191269,-0.10604216811063644,42.04117647058823,BTCUSD,2025-08-25T06:18:00+00:00
DOTUSDT,43,115048,79.9,381,0.9825703326015913,5.185143651479325,0.46995207561737373,11.033345552668623,0.1974853310980721,-0.1200211139487325,31.31233595800525,BTCUSD,2025-08-24T23:06:00+00:00
ETHUSD,105,115048,79.9,88,0.11619389086449139,0.6916472171474232,0.20221114337622925,3.4204208686007704,0.19683573755234993,-0.048177890627804254,73.26136363636364,BTCUSD,2025-08-24T23:06:00+00:00
ETHUSDT,53,115048,79.9,185,0.032281012567384464,0.4855477731504873,0.2565460054337372,1.892634309224399,0.29183609634031904,-0.06930533454073164,34.56216216216216,BTCUSD,2025-08-24T23:06:00+00:00
HBARUSD,101,115048,79.9,174,0.6431642274253117,3.2562832725014172,0.9078516501810678,3.586801069592806,0.18765605493133583,-0.28178601686632176,73.65517241379311,BTCUSD,2025-08-24T23:06:00+00:00
HBARUSDT,122,115048,79.9,125,0.21784937629376225,1.2236773536263275,0.8481486416215802,1.4427628513803823,0.21868884540117417,-0.2420996087559935,81.76,BTCUSD,2025-08-24T23:06:00+00:00
HYPEUSD,20,68860,47.8,404,0.5761518906097872,5.631170399426442,0.5558839958344507,10.130117856027132,0.2792807931440094,-0.22021844776148447,14.73019801980198,BTCUSD,2025-09-26T00:54:00+00:00
HYPEUSDT,118,68857,47.8,94,0.6848519572609284,5.514628124030129,0.531504206827216,10.375511699949318,0.2435762978500262,-0.10765626591038446,81.14893617021276,BTCUSD,2025-09-26T00:57:00+00:00
ICPUSD,91,112888,78.4,283,0.7779656569832863,4.149215765275437,1.149073238069504,3.6109236776138425,0.17290084859312194,-0.25686029385462145,63.293286219081274,BTCUSD,2025-08-26T11:06:00+00:00
LINKUSD,19,114616,79.6,733,0.9723129111003456,5.803322276770592,0.5138763650011143,11.293226666633348,0.2054833507257376,-0.12436479421314184,14.380627557980901,BTCUSD,2025-08-25T06:18:00+00:00
LINKUSDT,93,115048,79.9,124,0.10486808064299337,0.7056917389781446,0.3007810127545737,2.3461977563491025,0.19296697756491052,-0.0807107024187902,63.983870967741936,BTCUSD,2025-08-24T23:06:00+00:00
LTCUSD,52,114616,79.6,352,0.6873217206020293,3.7975568537413977,0.4139608253103715,9.173710686858731,0.2072467112854835,-0.09152496824231554,36.92897727272727,BTCUSD,2025-08-25T06:18:00+00:00
LTCUSDT,110,115048,79.9,171,0.2667481222805876,1.5311335535661386,0.5587487875863029,2.7402897072827757,0.21503455773860372,-0.08438338529378422,75.30409356725146,BTCUSD,2025-08-24T23:06:00+00:00
NEARUSD,47,114184,79.3,396,0.8199337627792176,4.503364969844761,0.5487222846811712,8.207002138634582,0.18514223871366728,-0.09946488992546164,32.666666666666664,BTCUSD,2025-08-25T13:30:00+00:00
