moon_mult,dip_min,dip_max,tp_level,stop_loss_pct,max_minutes,avg_ret,num_trades,win_rate
8.0,0.4,0.7,0.8,0.1,180,-0.13791081649789916,1,0.0
8.0,0.4,0.7,0.8,0.1,360,-0.030920582742086606,3,0.3333333333333333
8.0,0.4,0.7,0.8,0.2,180,-0.35297137727772476,1,0.0
8.0,0.4,0.7,0.8,0.2,360,-0.09085953301098466,3,0.3333333333333333
8.0,0.4,0.7,0.8,0.3,180,-0.35297137727772476,1,0.0
8.0,0.4,0.7,0.8,0.3,360,-0.09085953301098466,3,0.3333333333333333
8.0,0.4,0.8,0.7,0.1,180,0.03137973784322812,1,1.0
8.0,0.4,0.8,0.7,0.1,360,0.005469056484762036,3,0.6666666666666666
8.0,0.4,0.8,0.7,0.2,180,0.03137973784322812,1,1.0
8.0,0.4,0.8,0.7,0.2,360,0.005469056484762036,3,0.6666666666666666
8.0,0.4,0.8,0.7,0.3,180,0.03137973784322812,1,1.0
8.0,0.4,0.8,0.7,0.3,360,0.005469056484762036,3,0.6666666666666666
8.0,0.4,0.8,0.8,0.1,180,0.03137973784322812,1,1.0
8.0,0.4,0.8,0.8,0.1,360,0.04193696391220277,3,1.0
8.0,0.4,0.8,0.8,0.2,180,0.03137973784322812,1,1.0
8.0,0.4,0.8,0.8,0.2,360,0.04193696391220277,3,1.0
8.0,0.4,0.8,0.8,0.3,180,0.03137973784322812,1,1.0
8.0,0.4,0.8,0.8,0.3,360,0.04193696391220277,3,1.0
8.0,0.4,0.9,0.7,0.1,180,0.03137973784322812,1,1.0
8.0,0.4,0.9,0.7,0.1,360,-0.021237227424266408,3,0.3333333333333333
8.0,0.4,0.9,0.7,0.2,180,0.03137973784322812,1,1.0
8.0,0.4,0.9,0.7,0.2,360,-0.021237227424266408,3,0.3333333333333333
8.0,0.4,0.9,0.7,0.3,180,0.03137973784322812,1,1.0
8.0,0.4,0.9,0.7,0.3,360,-0.021237227424266408,3,0.3333333333333333
8.0,0.4,0.9,0.8,0.1,180,0.03137973784322812,1,1.0
8.0,0.4,0.9,0.8,0.1,360,-0.021237227424266408,3,0.3333333333333333
8.0,0.4,0.9,0.8,0.2,180,0.03137973784322812,1,1.0
