timestamp,open,high,low,close,volume
2025-10-30 00:34:00,3918.99,3919.1,3918.99,3919.1,0.0014
2025-10-30 00:35:00,3919.09,3919.09,3919.09,3919.09,0.0004
2025-10-30 00:36:00,3919.12,3919.12,3919.03,3919.03,0.0029
2025-10-30 00:37:00,3918.77,3918.77,3918.77,3918.77,0.0003
2025-10-30 00:38:00,3918.77,3918.77,3918.77,3918.77,0.0
2025-10-30 00:39:00,3917.55,3917.55,3917.55,3917.55,0.0127
2025-10-30 00:40:00,3917.76,3917.76,3917.76,3917.76,0.001
2025-10-30 00:41:00,3917.76,3917.76,3917.76,3917.76,0.0
2025-10-30 00:42:00,3917.76,3917.76,3917.76,3917.76,0.0
2025-10-30 00:43:00,3917.76,3917.76,3917.76,3917.76,0.0
2025-10-30 00:44:00,3917.76,3917.76,3917.76,3917.76,0.0
2025-10-30 00:45:00,3917.76,3917.76,3917.76,3917.76,0.0
2025-10-30 00:46:00,3917.76,3917.76,3917.76,3917.76,0.0
2025-10-30 00:47:00,3917.76,3917.76,3917.76,3917.76,0.0
2025-10-30 00:48:00,3917.76,3917.76,3917.76,3917.76,0.0
2025-10-30 00:49:00,3919.13,3919.74,3919.13,3919.74,0.0056
2025-10-30 00:50:00,3919.74,3919.74,3919.74,3919.74,0.0
2025-10-30 00:51:00,3919.74,3919.74,3919.74,3919.74,0.0
2025-10-30 00:52:00,3919.74,3919.74,3919.74,3919.74,0.0
2025-10-30 00:53:00,3919.74,3919.74,3919.74,3919.74,0.0
2025-10-30 00:54:00,3919.74,3919.74,3919.74,3919.74,0.071
2025-10-30 00:55:00,3919.74,3919.74,3919.74,3919.74,0.0
2025-10-30 00:56:00,3921.47,3922.08,3921.47,3922.08,0.0339
2025-10-30 00:57:00,3922.08,3922.08,3922.08,3922.08,0.0
2025-10-30 00:58:00,3922.08,3922.08,3922.08,3922.08,0.0
2025-10-30 00:59:00,3922.08,3922.08,3922.08,3922.08,0.0
2025-10-30 01:00:00,3922.08,3922.08,3922.08,3922.08,0.0
2025-10-30 01:01:00,3922.08,3922.08,3922.08,3922.08,0.0
2025-10-30 01:02:00,3922.08,3922.08,3922.08,3922.08,0.0
2025-10-30 01:03:00,3922.08,3922.08,3922.08,3922.08,0.0
2025-10-30 01:04:00,3922.08,3922.08,3922.08,3922.08,0.0
2025-10-30 01:05:00,3922.08,3922.08,3922.08,3922.08,0.0
2025-10-30 01:06:00,3922.08,3922.08,3922.08,3922.08,0.0
2025-10-30 01:07:00,3922.08,3922.08,3922.08,3922.08,0.0
2025-10-30 01:08:00,3924.7,3924.7,3924.7,3924.7,0.005
2025-10-30 01:09:00,3924.7,3924.7,3924.7,3924.7,0.002
2025-10-30 01:10:00,3926.01,3926.29,3926.01,3926.29,0.0083
2025-10-30 01:11:00,3916.51,3916.51,3916.51,3916.51,0.005
2025-10-30 01:12:00,3926.2,3926.2,3926.2,3926.2,0.0102
2025-10-30 01:13:00,3926.16,3926.16,3926.16,3926.16,0.0008
2025-10-30 01:14:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:15:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:16:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:17:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:18:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:19:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:20:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:21:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:22:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:23:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:24:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:25:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:26:00,3926.16,3926.16,3926.16,3926.16,0.0
2025-10-30 01:27:00,3910.93,3910.93,3910.93,3910.93,0.0005
2025-10-30 01:28:00,3910.93,3910.93,3910.93,3910.93,0.0
2025-10-30 01:29:00,3910.93,3910.93,3910.93,3910.93,0.0
2025-10-30 01:30:00,3910.93,3910.93,3910.93,3910.93,0.0
2025-10-30 01:31:00,3910.93,3910.93,3910.93,3910.93,0.0
2025-10-30 01:32:00,3926.53,3926.53,3913.22,3913.22,0.1707
2025-10-30 01:33:00,3913.22,3913.22,3913.22,3913.22,0.0
2025-10-30 01:34:00,3913.22,3913.22,3913.22,3913.22,0.0
2025-10-30 01:35:00,3913.22,3913.22,3913.22,3913.22,0.0
