coin,overlap_min,corr_vs_TRUMP,dtw_distance,dtw_lag_minutes_(+TRUMP_leads)
DADDY,361,0.7520195823683548,104.35492137756003,29.59298245614035
MELANIA,361,0.6877745224585273,109.61293915755019,-4.690598290598291
JENNER,361,0.49342703614466293,119.88807066393242,-22.21812080536913
POPCAT,361,0.24450393531168707,140.13644524695908,-77.02857142857142
BONK,361,0.3211111899179109,195.4353792923081,29.229357798165136
LIBRA,361,-0.6310118329260397,245.84775463222638,-99.60132890365449
MOTHER,361,-0.5877164275941626,452.56609630914005,-57.233151183970854
