minute_since_launch,TRUMP,BONK,DADDY,JENNER,LIBRA,MELANIA,MOTHER,POPCAT
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0099963795952231,1.000145731610545,1.0953257173387287,1.3369208952015583,0.9377178549963392,3.354325434366186,1.0066926311784226,1.006033457863506
2,1.0200909963408031,0.9796744830727202,1.071018507970256,1.9472915210398094,1.1266177413404166,5.299161175224271,1.0242507736888509,0.9932866115891728
3,1.0198889433086518,0.999226119508116,0.9770245699163289,1.779953471268004,1.2478198028968182,7.001763897038414,1.0445937192943489,1.0025722069509257
4,1.0302984645794795,0.97884924737462,0.4855016238170853,2.3037426730135953,1.3476599303992538,8.596070266318364,1.071103996064263,1.0024220779268855
5,1.0509693345581705,1.0139116106426573,0.4890469534390733,3.590735779761788,1.4163454013891794,14.334396694757977,1.0775554629946826,1.0048220388640794
6,1.0509647763984444,0.9789259652125353,0.4890469534390733,2.3659585249213104,1.505788469280126,17.0669941886907,1.0980446970324171,1.0190517644629709
7,1.0614791575996974,0.9775989631398865,0.4890469534390733,3.2423500221867774,1.6318444420351244,19.51495444934833,1.125252475107932,0.9862953607186394
8,1.061558531997798,0.9772648486547436,0.44758239826716706,2.8686595137796775,1.8212217440444667,22.881034346772193,1.1478796652636067,0.9931357245160407
9,1.0404037422704637,0.9771023283164604,0.36825206905669033,1.5957885806488437,2.109177045811041,26.040459544271386,1.1345532963941367,1.0084073298263965
10,1.061526697373036,0.9969416267855423,0.36539383532470976,1.7507417116686106,2.1298480930654806,29.34369231934216,1.1504399099639997,1.0016684731308283
11,1.0615081863106233,0.997465504718747,0.36718432184584876,2.569870394457584,2.530457170250111,35.099875674248715,1.1092144317207187,1.0092893002269978
12,1.0721157811518174,0.9758402985252225,0.32696979545026467,2.6675422834819837,2.9000054696533195,37.630122220055334,1.0992643018193209,1.0178461195535269
13,1.0828161722324092,0.9766925151238629,0.23268878346000268,2.108609541213295,2.903924282842995,46.32478919193203,1.0317682219420914,1.044149589812493
14,1.0827945597089024,0.9766417000497845,0.1481653024927852,2.098082021387378,2.6272194977866095,37.63306661015215,1.0149974166748172,0.9857756127887589
15,1.1045383726810603,0.9959341606226638,0.1308281825258966,2.5541953992099287,2.329338601560199,37.63181690656489,1.0406509365763466,0.9580919588194944
16,1.0933469205469932,0.9738973798270862,0.10387938788388591,2.8215224956342793,2.3282306507342767,47.2605744029661,1.0528521384314653,0.9589176389917092
17,1.104290581197869,0.9751227265339264,0.09731505973862016,2.8940175682838003,2.427695214600586,37.62892516671608,1.0794652055966618,0.9721906197807844
18,1.1380384395660448,0.9738153347116709,0.10907595112827319,3.855434188750433,2.496173803327973,37.630780881241144,1.068389785063473,0.9883137426175638
19,1.1608884266204575,1.0108575958941726,0.11265116424029206,4.059970157272243,2.521112434333631,37.630084959741595,1.070412206243827,1.0161274403508005
20,1.1724983030334328,0.9923230600042499,0.11930040280817322,4.562631410168878,2.6288203379932473,37.62982924476916,1.0528858702571269,1.0295646710470336
21,1.1842376080812305,0.9948579901828902,0.11626283209746056,5.148532459595343,2.7029998987948085,37.632352257764545,1.0156420951397616,0.9765767195238287
22,1.1960469808947467,0.9929739201687997,0.1173376102530498,5.269891860716877,2.67766542233999,36.51148197233507,1.00556407933025,1.016857127393972
23,1.1722457213112192,0.973301487744112,0.10981282865863683,5.820973943013557,2.6775375535309736,84.60706598282803,1.0106455699314922,1.0248656633901922
24,1.1606412218601019,0.9926384085192822,0.11637837478466151,4.641589249041925,2.702893770118319,84.92197642361556,0.9938677619021138,1.0144314516352029
25,1.1606217953867095,0.9926438285427526,0.13548747796338573,4.1615776407230305,2.7300165674238195,81.35619035130138,0.9996744689360993,1.041576736171151
26,1.1841814421196641,0.9961385541744209,0.179272615279011,5.367560433474564,2.8692350382028624,39.94648897082697,0.9993999487528045,1.0440654448289226
27,1.220076593139394,0.9936406749728366,0.18839091502108815,3.8661293331185966,3.045685243986329,82.54038098017381,1.0172027871991356,1.052671728594018
28,1.23226401816938,0.9951436756786962,0.2131247883451131,3.2034736679733133,3.2347565864198344,92.11403703444846,1.0490174372925558,1.0945688541466856
29,1.2445936171473377,0.9752123376161104,0.3112664137570566,3.759911737205522,3.3327486029317335,94.93608799283452,1.0456659071822583,1.1266322749713802
30,1.2445865958034155,0.9741437172414258,0.4195424967908731,4.429990154321559,3.4733680809643652,92.11355468151882,1.0414465760442686,1.15603043999679
31,1.2320911180289456,0.9925285678778935,0.4339421863714533,4.054872310476013,3.9002880952149552,94.93329306143967,1.0120814271700467,1.1669065448764688
32,1.2571142181551092,0.9929094228945056,0.4103027315376401,4.783814861316519,3.984512787949943,94.9400901349935,1.0078813814926268,1.1744584128713023
33,1.2323562587113122,0.9929094228945056,0.4103027315376401,6.0259372183003235,3.66144776641368,96.84105524730681,1.0031985362288272,1.1798289918075313
34,1.2201581670072115,0.9922509273635879,0.40749582524896694,5.532367735420998,3.46449298647012,41.84664970618053,1.006782997484173,1.2084157589517943
35,1.183977674378596,0.9722859232668267,0.40749582524896694,5.55687307193081,3.4478763774787944,46.59816761872351,1.0417573997292457,1.1400025564283456
36,1.1842517594859827,1.0106621192351029,0.40903914952634757,5.311993540486703,3.429093552521296,51.682384328811395,1.055939104697514,1.1515150111916934
37,1.2080527079214627,0.9914586621201771,0.39515287462035864,5.516546202026209,3.573339760530781,53.35665453541154,1.0605654431127083,1.1585832118863928
38,1.2080592122717193,0.9896225231152759,0.39515287462035864,6.878868854017147,3.7989249855736387,56.41949536296962,1.0769058601780155,1.1980461327436036
